Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
254249,The Making of Modern Japan,Marius B. Jansen,"Jansen, Marius B.",,"=""0674009916""","=""9780674009912""",0,4.06,Belknap Press,Paperback,936,2002,2000,,2022/02/09,to-read,to-read (#50),to-read,,,,0,0
1308900,The Harper Encyclopedia of Military History: From 3500 BC to the Present,R. Ernest Dupuy,"Dupuy, R. Ernest",Trevor N. Dupuy,"=""0062700561""","=""9780062700568""",0,4.41,HarperResource,Hardcover,1654,1993,1970,,2022/02/09,to-read,to-read (#49),to-read,,,,0,0
273197,Embracing Defeat: Japan in the Wake of World War II,John W. Dower,"Dower, John W.",,"=""0393320278""","=""9780393320275""",0,4.15,W. W. Norton & Company,Paperback,676,2000,1999,,2022/02/09,to-read,to-read (#48),to-read,,,,0,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",4,4.5,Ballantine Books,Hardcover,476,2021,2021,2022/02/08,2022/02/06,,,read,,,,1,0
49947205,"The End is Always Near: Apocalyptic Moments, from the Bronze Age Collapse to Nuclear Near Misses",Dan Carlin,"Carlin, Dan",,"=""0008340927""","=""9780008340926""",0,3.9,William Collins,Hardcover,288,2019,2019,,2022/01/20,to-read,to-read (#46),to-read,,,,0,0
22623,Existentialism and Human Emotions,Jean-Paul Sartre,"Sartre, Jean-Paul",,"=""0806509023""","=""9780806509020""",0,3.82,Citadel Press,Paperback,96,1994,1957,,2022/01/15,to-read,to-read (#45),to-read,,,,0,0
10000,The Face of Another,Kōbō Abe,"Abe, Kōbō",,"=""0375726535""","=""9780375726538""",0,3.75,Vintage,Paperback,238,2003,1964,,2022/01/13,to-read,to-read (#44),to-read,,,,0,0
109800,"Wild Fermentation: The Flavor, Nutrition, and Craft of Live-Culture Foods",Sandor Ellix Katz,"Katz, Sandor Ellix",Sally Fallon,"=""1931498237""","=""9781931498234""",0,4.38,Chelsea Green Publishing,Paperback,187,2003,2001,,2021/12/05,to-read,to-read (#43),to-read,,,,0,0
8648,"Xenocide (Ender's Saga, #3)",Orson Scott Card,"Card, Orson Scott",,"=""0312861877""","=""9780312861872""",0,3.82,Tor Books,Mass Market Paperback,592,1996,1991,,2022/01/08,to-read,to-read (#42),to-read,,,,0,0
58369678,How Civil Wars Start: And How to Stop Them,Barbara F. Walter,"Walter, Barbara F.",,"=""0593137787""","=""9780593137789""",0,4.24,Crown,Hardcover,320,2022,2022,,2022/01/07,to-read,to-read (#41),to-read,,,,0,0
6949682,The Stories of Ibis,Hiroshi Yamamoto,"Yamamoto, Hiroshi",Takami Nieda,"=""1421534401""","=""9781421534404""",0,4.25,Haikasoru,Paperback,422,2010,2006,,2022/01/03,to-read,to-read (#40),to-read,,,,0,0
50202953,Piranesi,Susanna Clarke,"Clarke, Susanna",,"=""163557563X""","=""9781635575637""",0,4.22,Bloomsbury,Hardcover,272,2020,2020,,2022/01/03,to-read,to-read (#39),to-read,,,,0,0
